email,name,mobile_number,mother_name,spouse_name,from_india
abc@gmail.com,Manoj,9998877665,Indira Jha,Rita Jha,False
abcdef@gmail.com,Manoj,9998877665,Indira Jha,Rita Jha,False
ab@gmail.com,Manoj,9998877665,Indira Jha,Rita Jha,False
abcd@gmail.com,Manoj,9998877665,Indira Jha,Rita Jha,False
dda@gmail.com,Manoj,9998877665,Indira Jha,Rita Jha,False
Shekharsharma17800@gmail.com,Fatima,9988776655,Nazia Khan,Imran Khan,False
ddda@gmail.com,Manoj,9998877665,Indira Jha,Rita Jha,False
a@gmail.com,Manoj,9998877665,Indira Jha,Rita Jha,False
da@gmail.com,Manoj,9998877665,Indira Jha,Rita Jha,False
Shekhar@acstechconsulting.com,Vikas,9876012345,Meena Singh,Shalini Singh,True
naurangilal15072002@gmail.com,Manoj,9998877665,Indira Jha,Rita Jha,False
abcde@gmail.com,Manoj,9998877665,Indira Jha,Rita Jha,False
naurangilal9675329115@gmail.com,naurangi,,,,True
naurangilal@acstechconsulting.com,naurangi,,,,True
